vaccine,producer,time,segment,Z_value,end_time,Q_value,trial,T,delta,scenario,inv,cap,cap_inc,filename
OPV,Serum_Institute,1,2,0.0,2,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,1,2,0.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,1,2,0.0,1,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,2,1,1.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,2,1,1.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,2,1,1.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,2,1,1.0,2,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,2,1,1.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,2,2,0.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,2,2,0.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,2,2,0.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,2,2,0.0,2,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,2,2,0.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,3,1,1.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,3,1,1.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,3,1,1.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,3,1,1.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,3,1,1.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,3,2,0.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,3,2,0.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,3,2,0.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,3,2,0.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,3,2,0.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,4,1,1.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,4,1,1.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,4,1,1.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,4,1,1.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,4,1,1.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,4,2,0.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,4,2,0.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,4,2,0.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,4,2,0.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,4,2,0.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,5,1,1.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,5,1,1.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,5,1,1.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,5,1,1.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,5,1,1.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,5,2,0.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,5,2,0.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,5,2,0.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,5,2,0.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,5,2,0.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,6,1,1.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,6,1,1.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,6,1,1.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,6,1,1.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,6,1,1.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,6,2,0.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,6,2,0.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,6,2,0.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,6,2,0.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,6,2,0.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,7,1,1.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,7,1,1.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,7,1,1.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,7,1,1.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,7,2,0.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,7,2,0.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,7,2,0.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,7,2,0.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,8,1,1.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,8,1,1.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,8,1,1.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,8,2,0.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,8,2,0.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,8,2,0.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,9,1,1.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,9,1,1.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,9,2,0.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,9,2,0.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,10,1,1.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
OPV,Serum_Institute,10,2,0.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,1,1,1.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,1,1,1.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,1,1,1.0,2,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,1,1,1.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,1,1,1.0,1,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,1,2,0.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,1,2,0.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,1,2,0.0,2,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,1,2,0.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,1,2,0.0,1,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,2,1,1.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,2,1,1.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,2,1,1.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,2,1,1.0,2,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,2,1,1.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,2,2,0.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,2,2,0.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,2,2,0.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,2,2,0.0,2,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,2,2,0.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,3,1,1.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,3,1,1.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,3,1,1.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,3,1,1.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,3,1,1.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,3,2,0.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,3,2,0.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,3,2,0.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,3,2,0.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,3,2,0.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,4,1,1.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,4,1,1.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,4,1,1.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,4,1,1.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,4,1,1.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,4,2,0.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,4,2,0.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,4,2,0.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,4,2,0.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,4,2,0.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,5,1,1.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,5,1,1.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,5,1,1.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,5,1,1.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,5,1,1.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,5,2,0.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,5,2,0.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,5,2,0.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,5,2,0.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,5,2,0.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,6,1,1.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,6,1,1.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,6,1,1.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,6,1,1.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,6,1,1.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,6,2,0.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,6,2,0.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,6,2,0.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,6,2,0.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,6,2,0.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,7,1,1.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,7,1,1.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,7,1,1.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,7,1,1.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,7,2,-0.0,7,-0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,7,2,-0.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,7,2,-0.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,7,2,-0.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,8,1,1.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,8,1,1.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,8,1,1.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,8,2,-0.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,8,2,-0.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,8,2,-0.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,9,1,1.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,9,1,1.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,9,2,-0.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,9,2,-0.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,10,1,1.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,GSK,10,2,-0.0,10,-0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,Pfizer,1,1,1.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,Pfizer,1,1,1.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,Pfizer,1,1,1.0,2,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,Pfizer,1,1,1.0,3,0.6807055864868299,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,Pfizer,1,1,1.0,1,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,Pfizer,1,2,0.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,Pfizer,1,2,0.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,Pfizer,1,2,0.0,2,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
PCV,Pfizer,1,2,0.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
